"","state","year","e85","total","ratio_e85"
"1","Alabama","2009",16,191,8.37696335078534
"2","Alaska","2009",0,11,0
"3","Arizona","2009",26,143,18.1818181818182
"4","Arkansas","2009",10,63,15.8730158730159
"5","California","2009",45,937,4.8025613660619
"6","Colorado","2009",80,168,47.6190476190476
"7","Connecticut","2009",4,31,12.9032258064516
"8","Delaware","2009",1,7,14.2857142857143
"9","District of Columbia","2009",3,7,42.8571428571429
"10","Florida","2009",30,125,24
"11","Georgia","2009",37,122,30.327868852459
"12","Hawaii","2009",0,12,0
"13","Idaho","2009",5,51,9.80392156862745
"14","Illinois","2009",204,311,65.5948553054662
"15","Indiana","2009",112,169,66.2721893491124
"16","Iowa","2009",124,153,81.0457516339869
"17","Kansas","2009",31,85,36.4705882352941
"18","Kentucky","2009",15,42,35.7142857142857
"19","Louisiana","2009",5,26,19.2307692307692
"20","Maine","2009",0,13,0
"21","Maryland","2009",15,46,32.6086956521739
"22","Massachusetts","2009",2,55,3.63636363636364
"23","Michigan","2009",95,199,47.7386934673367
"24","Minnesota","2009",351,381,92.1259842519685
"25","Mississippi","2009",4,47,8.51063829787234
"26","Missouri","2009",97,182,53.2967032967033
"27","Montana","2009",1,53,1.88679245283019
"28","Nebraska","2009",48,71,67.6056338028169
"29","Nevada","2009",14,68,20.5882352941176
"30","New Hampshire","2009",0,25,0
"31","New Jersey","2009",2,31,6.45161290322581
"32","New Mexico","2009",10,77,12.987012987013
"33","New York","2009",38,177,21.4689265536723
"34","North Carolina","2009",19,227,8.37004405286344
"35","North Dakota","2009",30,59,50.8474576271186
"36","Ohio","2009",63,162,38.8888888888889
"37","Oklahoma","2009",11,123,8.94308943089431
"38","Oregon","2009",8,99,8.08080808080808
"39","Pennsylvania","2009",26,127,20.4724409448819
"40","Rhode Island","2009",0,12,0
"41","South Carolina","2009",87,142,61.2676056338028
"42","South Dakota","2009",78,96,81.25
"43","Tennessee","2009",29,114,25.4385964912281
"44","Texas","2009",41,629,6.51828298887122
"45","Utah","2009",5,92,5.43478260869565
"46","Vermont","2009",0,10,0
"47","Virginia","2009",9,79,11.3924050632911
"48","Washington","2009",15,144,10.4166666666667
"49","West Virginia","2009",3,13,23.0769230769231
"50","Wisconsin","2009",127,191,66.4921465968586
"51","Wyoming","2009",6,51,11.7647058823529
"52","Total","2009",1982,6449,30.7334470460537
"53","Alabama","2010",15,153,9.80392156862745
